Abs(f18) "f2*(f20 - Abs(f18))/f0"
0.355137 -2.221300
0.247442 -1.539822
0.409854 -1.485215
0.518896 -2.062680
0.107276 -2.055322
1.451006 -5.134981
0.005277 -1.891757
0.058599 -1.364040
0.159720 -1.245267
0.145437 -1.724226
0.483715 -2.453664
1.376382 -5.046916
0.456052 -2.334382
0.298148 -1.595454
0.154690 -1.238159
0.171252 -1.736704
0.508967 -2.464313
0.332816 -3.999757
0.419614 -2.292534
0.696725 -1.989269
0.103716 -1.186335
0.157635 -1.713160
0.439070 -2.383903
0.449096 -4.134043
0.452354 -2.327042
0.640258 -1.937522
0.129728 -1.209802
0.157809 -1.720706
0.811370 -2.757240
0.130484 -3.927950
0.092331 -1.960668
0.108337 -1.401991
3.465898 -4.551918
0.215464 -1.762952
0.267428 -2.206770
0.260655 -3.918960
0.054470 -1.925515
0.079899 -1.374860
4.034479 -5.165854
0.172754 -1.725361
1.528474 -5.132572
0.276999 -2.132289
0.213989 -1.506160
0.026200 -1.102750
0.123524 -1.668627
0.374090 -3.960298
0.256400 -2.108189
0.054429 -1.343207
0.272869 -1.348921
0.069502 -1.618870
0.613176 -2.540546
0.763246 -4.348778
0.140250 -1.988670
0.024836 -1.308974
0.103106 -1.174053
0.068562 -1.604593
0.404795 -2.321051
0.104160 -3.666955
0.116843 -1.989651
0.293911 -1.585464
0.298998 -1.374537
0.766365 -2.305595
0.366445 -2.306665
2.252851 -5.907697
0.375716 -2.264895
0.361346 -1.666903
0.257515 -1.346226
1.190442 -2.766445
0.672238 -2.658963
1.522903 -5.199977
1.834176 -3.707750
0.313055 -1.631511
0.317692 -1.411869
2.299375 -3.875205
1.017402 -3.025920
1.301809 -4.991893
2.720711 -4.630937
3.185001 -4.526010
0.947616 -2.029997
3.982294 -5.592001
0.193477 -2.173247
2.238878 -5.925337
0.441860 -2.321761
0.107932 -1.412088
0.077573 -1.164560
0.200878 -1.777630
0.514390 -2.492358
0.028938 -3.729365
0.985705 -2.853350
0.097782 -1.398509
0.061360 -1.145911
0.307807 -1.878361
0.396436 -2.366136
0.240893 -3.926929
0.569799 -2.435102
0.099415 -1.396216
0.176218 -1.256510
0.220156 -1.784241
0.671678 -2.624456
0.318189 -4.008780
0.290837 -2.160013
0.028230 -1.324571
0.220890 -1.299841
0.559872 -2.123445
1.081444 -3.026573
0.284822 -3.959857
0.406503 -2.259533
0.312830 -1.595527
0.579222 -1.647737
0.906214 -2.433747
1.872171 -3.778189
0.837632 -4.411787
0.172889 -2.014185
0.007177 -1.287656
0.058411 -1.125585
0.083651 -1.612398
0.310529 -2.218993
0.284779 -3.823122
0.218963 -2.093755
0.240548 -1.532831
0.207021 -1.282233
0.984619 -2.525160
0.469267 -2.407655
2.398227 -6.018335
0.385249 -2.276888
0.232759 -1.323463
0.632977 -2.220148
0.219106 -2.209792
1.558399 -5.251944
3.111152 -4.981631
0.195486 -1.514458
0.979087 -2.080133
2.537224 -4.124424
1.389266 -3.389908
0.973088 -4.685928
2.276130 -4.193898
5.778892 -7.162265
0.425039 -1.534327
0.317040 -1.923547
9.304041 -11.266198
0.649162 -4.378096
0.323291 -2.232724
0.049530 -1.366362
0.035203 -1.123298
2.597560 -4.206801
0.635840 -2.617093
0.191196 -3.913418
1.445049 -3.320073
0.130375 -1.433076
0.060718 -1.146482
0.038471 -1.623047
1.216245 -3.195705
0.191556 -3.900016
0.553761 -2.427835
0.116882 -1.416194
0.192734 -1.274247
0.269485 -1.840531
0.703107 -2.664353
0.425165 -4.134493
0.313438 -2.193342
0.141858 -1.443190
0.326139 -1.408098
1.011636 -2.595718
0.983017 -2.954877
10.707378 -14.792851
2.142033 -4.008028
2.356066 -3.643997
1.792629 -2.856791
8.295625 -10.001183
4.844898 -6.801767
8.689912 -12.437558
0.117083 -1.952918
0.063925 -1.338007
0.339712 -1.862043
0.752984 -2.637646
0.332164 -3.862280
0.491583 -2.358847
0.308777 -1.598810
0.251161 -1.325294
0.993567 -2.528496
0.489840 -2.423894
2.137023 -5.744495
0.371464 -2.240430
0.300147 -1.590196
0.269188 -1.343053
0.946581 -2.481758
0.462218 -2.396677
2.089022 -5.703306
0.368274 -2.236859
0.299544 -1.589513
0.274581 -1.348389
0.909573 -2.444884
0.441504 -2.376279
2.052104 -5.671932
0.381510 -2.248742
0.302467 -1.592027
0.275606 -1.349532
0.859624 -2.394662
0.400805 -2.336218
1.985471 -5.615996
0.495146 -2.356483
0.108554 -1.401042
0.172214 -1.247871
0.808703 -2.344052
0.363959 -2.300236
2.192882 -5.830214
0.070168 -1.941051
0.109372 -1.401771
0.294049 -1.368125
0.767782 -2.303344
0.353708 -2.290214
2.149217 -5.797172
0.390666 -2.255390
0.097227 -1.389850
0.129834 -1.206318
0.754138 -2.289652
0.350431 -2.287024
1.832412 -5.490462
0.003873 -1.875498
0.093762 -1.386451
0.196069 -1.271704
0.737738 -2.273364
0.347195 -2.283907
2.117844 -5.775555
0.389670 -2.254187
0.087909 -1.380690
0.007693 -1.085702
0.720109 -2.255988
0.340773 -2.277812
1.763758 -5.431531
0.388215 -2.252451
0.084771 -1.377660
0.483693 -1.554928
0.691856 -2.228156
0.327802 -2.265435
1.712647 -5.391021
0.036429 -1.910608
0.168609 -1.463888
0.513514 -1.589148
0.120421 -1.681373
0.563601 -2.506762
0.504286 -4.201243
0.016425 -1.902649
0.342956 -1.646815
0.387180 -1.474587
0.138850 -1.718554
0.481282 -2.459843
0.894835 -4.590369
0.450266 -2.335021
0.249804 -1.555645
0.083619 -1.172449
0.672041 -2.243651
0.329802 -2.303300
0.908703 -4.590477
0.176094 -2.054222
0.263006 -1.562567
0.542125 -1.624305
0.161849 -1.730477
0.695127 -2.650486
0.134752 -3.838932
0.106911 -1.989749
0.350449 -1.654357
1.328433 -2.417585
0.137292 -1.711357
0.681197 -2.642795
0.141071 -3.821781
0.647677 -2.520333
0.324993 -1.646926
0.793097 -1.879217
0.212183 -1.783457
1.019466 -2.982661
0.207739 -3.909897
0.166967 -2.040794
0.365889 -1.664483
0.836033 -1.920687
0.193402 -1.759467
0.280856 -3.960621
0.213248 -2.083934
0.299766 -1.600121
0.916760 -2.001889
0.185194 -1.754358
0.726513 -2.682690
0.091842 -3.762564
0.096872 -1.961081
3.696114 -4.941166
3.482138 -4.777431
0.159029 -1.712972
0.714176 -2.648207
0.003729 -3.633028
5.298818 -7.363237
0.281451 -1.562179
14.055634 -16.277979
0.103401 -1.641334
0.691849 -2.600792
0.074195 -3.654406
0.162783 -2.033932
0.023329 -1.319122
0.057820 -1.136307
0.275989 -1.832186
0.289514 -2.235388
0.819231 -4.510516
0.054173 -1.942177
0.150463 -1.456510
0.316186 -1.403796
0.101869 -1.686695
0.581507 -2.567973
1.033432 -4.730468
0.005060 -1.906196
0.236721 -1.561504
0.040949 -1.142795
1.227602 -2.832351
0.931476 -2.945940
2.361908 -6.077917
2.410924 -4.358483
0.909161 -2.223002
0.469872 -1.554296
