Abs(f18) "f2*(f20 - Abs(f18))/f0" f1*f18**2/f2
0.355137 -2.221300 0.126229
0.247442 -1.539822 0.061264
0.409854 -1.485215 0.168149
0.518896 -2.062680 0.269568
0.107276 -2.055322 0.011511
1.451006 -5.134981 2.112093
0.005277 -1.891757 0.000028
0.058599 -1.364040 0.003434
0.159720 -1.245267 0.025500
0.145437 -1.724226 0.021159
0.483715 -2.453664 0.233714
1.376382 -5.046916 1.900505
0.456052 -2.334382 0.208220
0.298148 -1.595454 0.088825
0.154690 -1.238159 0.023919
0.171252 -1.736704 0.029340
0.508967 -2.464313 0.258730
0.332816 -3.999757 0.110853
0.419614 -2.292534 0.176266
0.696725 -1.989269 0.484536
0.103716 -1.186335 0.010754
0.157635 -1.713160 0.024859
0.439070 -2.383903 0.192577
0.449096 -4.134043 0.201472
0.452354 -2.327042 0.204379
0.640258 -1.937522 0.409216
0.129728 -1.209802 0.016836
0.157809 -1.720706 0.024893
0.811370 -2.757240 0.656966
0.130484 -3.927950 0.017021
0.092331 -1.960668 0.008523
0.108337 -1.401991 0.011733
3.465898 -4.551918 11.882041
0.215464 -1.762952 0.046453
0.267428 -2.206770 0.071465
0.260655 -3.918960 0.067988
0.054470 -1.925515 0.002967
0.079899 -1.374860 0.006386
4.034479 -5.165854 16.053406
0.172754 -1.725361 0.029860
1.528474 -5.132572 2.326060
0.276999 -2.132289 0.076646
0.213989 -1.506160 0.045752
0.026200 -1.102750 0.000686
0.123524 -1.668627 0.015251
0.374090 -3.960298 0.139772
0.256400 -2.108189 0.065804
0.054429 -1.343207 0.002962
0.272869 -1.348921 0.074375
0.069502 -1.618870 0.004829
0.613176 -2.540546 0.375177
0.763246 -4.348778 0.581098
0.140250 -1.988670 0.019682
0.024836 -1.308974 0.000617
0.103106 -1.174053 0.010626
0.068562 -1.604593 0.004699
0.404795 -2.321051 0.163603
0.104160 -3.666955 0.010845
0.116843 -1.989651 0.013649
0.293911 -1.585464 0.086444
0.298998 -1.374537 0.089464
0.766365 -2.305595 0.588335
0.366445 -2.306665 0.134390
