Rank,Feature,Internal_Name,Internal_Sym_Expr,Correlation,R2_Score,RMSE
1,Uₑₘₚ - │Eₛᵢₜₑ│,f17 - Abs(f18),f17 - Abs(f18),0.98322,0.96672,0.27847
2,│Eₛᵢₜₑ│,Abs(f18),Abs(f18),0.98311,0.96651,0.27937
3,"E⋅(Uₑₘₚ - │Eₛᵢₜₑ│)
──────────────────
     │E_oct│",f0*(f17 - Abs(f18))/Abs(f2),f0*(f17 - Abs(f18))/Abs(f2),0.98299,0.96627,0.28037
4,"E⋅(Uₑₘₚ - │Eₛᵢₜₑ│)
──────────────────
      E_oct",f0*(f17 - Abs(f18))/f2,f0*(f17 - Abs(f18))/f2,0.98299,0.96627,0.28037
5,"│E│⋅│Eₛᵢₜₑ│
───────────
   E_oct",Abs(f0)*Abs(f18)/f2,Abs(f0)*Abs(f18)/f2,0.98290,0.96610,0.28106
6,"E⋅│Eₛᵢₜₑ│
─────────
  E_oct",f0*Abs(f18)/f2,f0*Abs(f18)/f2,0.98290,0.96610,0.28106
7,"Eₜₑₜ⋅(Uₑₘₚ - │Eₛᵢₜₑ│)
─────────────────────
       │E_oct│",f1*(f17 - Abs(f18))/Abs(f2),f1*(f17 - Abs(f18))/Abs(f2),0.98287,0.96604,0.28130
8,"Eₜₑₜ⋅(Uₑₘₚ - │Eₛᵢₜₑ│)
─────────────────────
        E_oct",f1*(f17 - Abs(f18))/f2,f1*(f17 - Abs(f18))/f2,0.98287,0.96604,0.28130
9,"Eₜₑₜ⋅│Eₛᵢₜₑ│
────────────
   E_oct",f1*Abs(f18)/f2,f1*Abs(f18)/f2,0.98271,0.96573,0.28261
10,"│Eₛᵢₜₑ│⋅│Eₜₑₜ│
──────────────
    E_oct",Abs(f1)*Abs(f18)/f2,Abs(f1)*Abs(f18)/f2,0.98271,0.96573,0.28261
11,"E_oct⋅(Uₑₘₚ - │Eₛᵢₜₑ│)
──────────────────────
         │E│",f2*(f17 - Abs(f18))/Abs(f0),f2*(f17 - Abs(f18))/Abs(f0),0.98242,0.96514,0.28501
12,"E_oct⋅(Uₑₘₚ - │Eₛᵢₜₑ│)
──────────────────────
          E",f2*(f17 - Abs(f18))/f0,f2*(f17 - Abs(f18))/f0,0.98242,0.96514,0.28501
13,"│E_oct│⋅│Eₛᵢₜₑ│
───────────────
       E",Abs(f18)*Abs(f2)/f0,Abs(f18)*Abs(f2)/f0,0.98223,0.96477,0.28653
14,"E_oct⋅│Eₛᵢₜₑ│
─────────────
      E",f2*Abs(f18)/f0,f2*Abs(f18)/f0,0.98223,0.96477,0.28653
15,"E_oct⋅(Uₑₘₚ - │Eₛᵢₜₑ│)
──────────────────────
        │Eₜₑₜ│",f2*(f17 - Abs(f18))/Abs(f1),f2*(f17 - Abs(f18))/Abs(f1),0.98191,0.96415,0.28902
16,"E_oct⋅(Uₑₘₚ - │Eₛᵢₜₑ│)
──────────────────────
         Eₜₑₜ",f2*(f17 - Abs(f18))/f1,f2*(f17 - Abs(f18))/f1,0.98191,0.96415,0.28902
17,"│E_oct│⋅│Eₛᵢₜₑ│
───────────────
     Eₜₑₜ",Abs(f18)*Abs(f2)/f1,Abs(f18)*Abs(f2)/f1,0.98172,0.96378,0.29052
18,"E_oct⋅│Eₛᵢₜₑ│
─────────────
    Eₜₑₜ",f2*Abs(f18)/f1,f2*Abs(f18)/f1,0.98172,0.96378,0.29052
19,Anion + Uₑₘₚ - 2⋅│Eₛᵢₜₑ│,f17 + f8 - 2*Abs(f18),f17 + f8 - 2*Abs(f18),0.98132,0.96299,0.29368
20,"2  
 Eₛᵢₜₑ   
─────────
A⋅│Eₛᵢₜₑ│",f18**2/(f3*Abs(f18)),f18**2/(f3*Abs(f18)),0.97677,0.95409,0.32709
