materials,property,E,E_tet,E_oct,A,B,C,Cation,Metal,Anion,U,ELN_A,ELN_B,ELN_X,DELNAX,DELNBX,R_AX,R_BX,U_emp,E_site,oxidation_state,E_metal,OCV
LiSc2O4,0.40736232,-429.2130764,-422.0062482,-421.6511109,8.894821084,8.894821084,8.894821084,0.76,0.75,1.4,0.387462512,0.98,1.36,3.44,6.0516,4.3264,2.16,2.15,0.387962311,0.35513732,1,-1.906,5.30082816
NaSc2O4,0.30140404,-421.7161967,-415.8584594,-415.6110179,9.157989878,9.157989878,9.157989878,1.02,0.75,1.4,0.393892294,0.93,1.36,3.44,6.3001,4.3264,2.42,2.15,0.39609887,0.24744155,1,-1.315,4.54273727
KSc2O4,0.40985448,-414.5457466,-409.8856012,-409.4757467,9.483774655,9.483774655,9.483774655,1.38,0.75,1.4,0.400693776,0.82,1.36,3.44,6.8644,4.3264,2.78,2.15,0.404635533,0.40985448,1,-1.09375,3.56639549
MgSc2O4,0.5467644,-454.2913805,-443.8036742,-443.284778,8.820184707,8.820184707,8.820184707,0.72,0.75,1.4,0.383921895,1.31,1.36,3.44,4.5369,4.3264,2.12,2.15,0.386485479,0.51889611,2,-1.595,4.446353155
CaSc2O4,0.36328139,-464.1055415,-452.7705287,-452.663253,9.13352306,9.13352306,9.13352306,0.99,0.75,1.4,0.390966105,1,1.36,3.44,5.9536,4.3264,2.39,2.15,0.395265631,0.10727569,2,-2,4.6675064
AlSc2O4,1.61583829,-463.7004235,-459.2649122,-457.8139058,8.615890139,8.615890139,8.615890139,0.53,0.75,1.4,0.371217822,1.61,1.36,3.44,3.3489,4.3264,1.93,2.15,0.378222505,1.4510064,3,-3.75,0.228503747
LiTi2O4,0.4972755,-422.5319097,-418.2216694,-418.216392,8.579939604,8.555190666,8.555190666,0.76,0.68,1.4,0.388227624,0.98,1.54,3.44,6.0516,3.61,2.16,2.08,0.390653015,0.00527739,1,-1.906,2.4042403
NaTi2O4,0.3218463,-412.0647179,-409.2555899,-409.1969909,8.859407648,8.798387988,8.798387988,1.02,0.68,1.4,0.394731156,0.93,1.54,3.44,6.3001,3.61,2.42,2.08,0.398846004,0.05859896,1,-1.315,1.49412802
KTi2O4,0.50094771,-400.9876224,-398.203616,-398.3633365,9.232659563,9.19930215,9.19930215,1.38,0.68,1.4,0.407830813,0.82,1.54,3.44,6.8644,3.61,2.78,2.08,0.407441874,-0.15972049,1,-1.09375,1.69025641
MgTi2O4,0.3821388,-421.2256675,-417.4475439,-417.3021069,8.852410555,8.624461526,8.624461526,0.72,0.68,1.4,0.384456072,1.31,1.54,3.44,4.5369,3.61,2.12,2.08,0.38916594,0.14543707,2,-1.595,1.091561765
